age,bin,attri_mort,attri_mort_lower,attri_mort_upper
60,5.5,0.000663385,0.000544533,0.000781189
65,5.5,0.000927222,0.000760624,0.001092392
70,5.5,0.001361191,0.001116153,0.001604215
75,5.5,0.00202295,0.001657904,0.002385145
80,5.5,0.002972051,0.002433933,0.003506361
85,5.5,0.008408417,0.006885988,0.009920072
25,6,8.63E-05,7.09E-05,0.000101505
30,6,0.000119484,9.82E-05,0.000140549
35,6,0.000158125,0.000129945,0.000186
40,6,0.00019725,0.000162135,0.000231987
45,6,0.000264686,0.000217573,0.000311301
50,6,0.000375491,0.000308636,0.000441655
55,6,0.000526674,0.000432751,0.00061965
60,6,0.000766334,0.000629352,0.000901965
65,6,0.001067116,0.000875809,0.0012566
70,6,0.001563717,0.001282822,0.001842031
75,6,0.00231281,0.00189629,0.002725691
80,6,0.003378031,0.002767499,0.003983706
85,6,0.009525123,0.007803591,0.011232959
25,6.5,9.23E-05,7.59E-05,0.000108499
30,6.5,0.000126129,0.0001037,0.00014829
35,6.5,0.000166865,0.000137198,0.000196179
40,6.5,0.000209016,0.000171894,0.000245701
45,6.5,0.000281811,0.000231767,0.000331275
50,6.5,0.00040094,0.000329717,0.000471356
55,6.5,0.000564488,0.000464042,0.000663823
60,6.5,0.00082113,0.000674672,0.000966009
65,6.5,0.001147034,0.000941829,0.001350097
70,6.5,0.001678512,0.0013776,0.001976406
75,6.5,0.002484601,0.00203801,0.002926931
80,6.5,0.003645257,0.002987576,0.004297205
85,6.5,0.010362406,0.008492812,0.012215702
25,7,9.72E-05,8.00E-05,0.000114248
30,7,0.000132532,0.000109019,0.000155741
35,7,0.000175007,0.000143964,0.000205649
40,7,0.000219604,0.00018069,0.000258019
45,7,0.000296362,0.000243851,0.000348212
50,7,0.000422083,0.000347268,0.00049598
55,7,0.000595477,0.000489744,0.000699942
60,7,0.000866305,0.000712111,0.001018697
65,7,0.001212456,0.000995978,0.001426474
70,7,0.001779031,0.001460714,0.002093888
75,7,0.002643647,0.002169335,0.003113057
80,7,0.00389197,0.003190928,0.00458637
85,7,0.011077253,0.009081961,0.013053642
25,7.5,0.000105608,8.69E-05,0.000124034
30,7.5,0.000146724,0.000120749,0.000172338
35,7.5,0.000194621,0.000160173,0.000228593
40,7.5,0.000243094,0.00020011,0.000285489
45,7.5,0.000327129,0.000269288,0.000384191
50,7.5,0.000464949,0.000382704,0.000546111
55,7.5,0.00065578,0.000539572,0.000770495
60,7.5,0.000955033,0.000785378,0.001122564
65,7.5,0.001333048,0.001095486,0.001567723
70,7.5,0.001955825,0.001606506,0.00230108
75,7.5,0.002900203,0.002380742,0.003413885
80,7.5,0.004252326,0.003487573,0.005009309
85,7.5,0.012021766,0.009859726,0.014161839
25,8,0.000114831,9.46E-05,0.000134806
30,8,0.000159286,0.000131145,0.00018701
35,8,0.000210477,0.000173299,0.000247107
40,8,0.000263271,0.000216815,0.000309049
45,8,0.000353866,0.000291424,0.000415412
50,8,0.000502064,0.000413429,0.000589455
55,8,0.000707115,0.00058205,0.000830466
60,8,0.001029288,0.000846781,0.00120936
65,8,0.001439167,0.001183164,0.001691865
70,8,0.002105673,0.001730236,0.00247644
75,8,0.003116931,0.002559572,0.003667694
80,8,0.004559707,0.003740912,0.005369667
85,8,0.0127388,0.010451265,0.015001656
25,8.5,0.000124722,0.000102743,0.000146355
30,8.5,0.000172937,0.000142446,0.00020295
35,8.5,0.000227673,0.000187539,0.000267181
40,8.5,0.000284052,0.000234029,0.000333303
45,8.5,0.000380669,0.000313629,0.00044669
50,8.5,0.000539022,0.000444044,0.000632589
55,8.5,0.000757285,0.000623597,0.000889032
60,8.5,0.001102601,0.000907448,0.001294997
65,8.5,0.001543993,0.001269819,0.00181441
70,8.5,0.002253305,0.001852218,0.002649113
75,8.5,0.003340433,0.002744064,0.003929338
80,8.5,0.0048767,0.004002255,0.005741157
85,8.5,0.013454628,0.011042065,0.015839633
25,9,0.000136405,0.000112415,0.000159997
30,9,0.000194897,0.000160603,0.000228625
35,9,0.000258706,0.00021319,0.000303472
40,9,0.000320004,0.000263759,0.000375333
45,9,0.000426177,0.000351266,0.000499888
50,9,0.000600958,0.000495263,0.000704995
55,9,0.000842119,0.000693725,0.000988245
60,9,0.001227441,0.001010581,0.001441076
65,9,0.001714193,0.001410315,0.002013681
70,9,0.002494629,0.002051316,0.00293179
75,9,0.003695558,0.003036816,0.004345627
80,9,0.005352128,0.004393781,0.00629894
85,9,0.014576712,0.011966617,0.017155394
25,9.5,0.000148415,0.000122362,0.000174015
30,9.5,0.000218442,0.000180076,0.000256144
35,9.5,0.000291927,0.000240662,0.000342307
40,9.5,0.00035911,0.000296108,0.000421034
45,9.5,0.000474386,0.000391153,0.00055622
50,9.5,0.000663446,0.000546969,0.000778009
55,9.5,0.000922488,0.000760213,0.001082161
60,9.5,0.00134702,0.001109432,0.0015809
65,9.5,0.001875202,0.001543322,0.002202055
70,9.5,0.00272774,0.002243758,0.003204672
75,9.5,0.004027847,0.003310908,0.004734833
80,9.5,0.005798032,0.004761227,0.006821731
85,9.5,0.015659241,0.012859047,0.018424039
25,10,0.000162114,0.000133707,0.000190004
30,10,0.00024644,0.000203235,0.000288864
35,10,0.000330851,0.000272855,0.000387802
40,10,0.000406071,0.000334957,0.000475914
45,10,0.000532553,0.000439278,0.000624191
50,10,0.000739014,0.000609495,0.00086631
55,10,0.001018626,0.00083974,0.001194514
60,10,0.00149041,0.001227957,0.001748578
65,10,0.002079415,0.001711974,0.002441041
70,10,0.003006776,0.002474085,0.00353136
75,10,0.004430357,0.0036429,0.005206409
80,10,0.006351713,0.005217355,0.007471054
85,10,0.016875388,0.013861598,0.019849281
25,10.5,0.000171364,0.000141391,0.00020077
30,10.5,0.000262214,0.000216325,0.000307236
35,10.5,0.000352552,0.000290862,0.000413084
40,10.5,0.000433848,0.000358004,0.000508281
45,10.5,0.000569532,0.000469954,0.000667289
50,10.5,0.000788805,0.000650793,0.000924346
55,10.5,0.001078809,0.000889668,0.001264647
60,10.5,0.001585119,0.001306435,0.00185906
65,10.5,0.002219171,0.001827636,0.002604239
70,10.5,0.003199356,0.002633386,0.003756342
75,10.5,0.004700857,0.003866514,0.005522606
80,10.5,0.006744276,0.00554139,0.007930585
85,10.5,0.017874628,0.014686565,0.021018756
25,11,0.000180853,0.000149275,0.000211809
30,11,0.000276406,0.000228117,0.000323748
35,11,0.000372106,0.000307107,0.000435837
40,11,0.000458544,0.00037852,0.000537021
45,11,0.00060205,0.000496963,0.00070514
50,11,0.000833442,0.000687861,0.000976315
55,11,0.001138189,0.000938955,0.001333798
60,11,0.001675696,0.001381545,0.001964644
65,11,0.002352717,0.001938243,0.002760082
70,11,0.003385619,0.002787563,0.003973814
75,11,0.004980398,0.004097645,0.005849294
80,11,0.007151812,0.005877803,0.008407542
85,11,0.01878545,0.015439049,0.02208384
25,11.5,0.000185543,0.000153201,0.000217224
30,11.5,0.000286433,0.000236478,0.000335372
35,11.5,0.000386257,0.0003189,0.000452251
40,11.5,0.000477621,0.000394407,0.000559166
45,11.5,0.000627945,0.000518518,0.000735214
50,11.5,0.000869875,0.000718174,0.00101865
55,11.5,0.001190202,0.00098219,0.001394294
60,11.5,0.00175406,0.001446621,0.002055855
65,11.5,0.002473422,0.002038327,0.002900777
70,11.5,0.003553304,0.002926512,0.004169382
75,11.5,0.005232012,0.004305914,0.006143034
80,11.5,0.007523475,0.006184884,0.008842139
85,11.5,0.019650624,0.016154345,0.023094857
25,12,0.00019409,0.000160315,0.000227152
30,12,0.000299075,0.000247002,0.000350052
35,12,0.00040227,0.000332237,0.000470837
40,12,0.000498413,0.000411719,0.000583308
45,12,0.000653974,0.000540195,0.000765431
50,12,0.000905335,0.000747696,0.001059824
55,12,0.001241727,0.001025043,0.001454185
60,12,0.001827095,0.001507333,0.002140785
65,12,0.00258661,0.002132256,0.003032595
70,12,0.003703323,0.003050973,0.004344132
75,12,0.005460833,0.004495483,0.006409916
80,12,0.007874673,0.006475304,0.00925255
85,12,0.020430179,0.016799634,0.024004966
25,12.5,0.000196788,0.000162598,0.00023023
30,12.5,0.000302107,0.00024959,0.000353482
35,12.5,0.000409219,0.00033809,0.000478809
40,12.5,0.000509317,0.000420866,0.000595869
45,12.5,0.000670553,0.000554073,0.000784578
50,12.5,0.000929974,0.000768297,0.001088317
55,12.5,0.001281709,0.001058385,0.001500534
60,12.5,0.001883996,0.001554752,0.002206778
65,12.5,0.002670048,0.002201705,0.003129484
70,12.5,0.003823636,0.003151002,0.004483974
75,12.5,0.005646368,0.004649495,0.006625887
80,12.5,0.008154709,0.006707229,0.009579173
85,12.5,0.021091243,0.017347496,0.024775464
25,13,0.000202736,0.00016757,0.000237111
30,13,0.000308741,0.000255156,0.000361123
35,13,0.000420152,0.000347239,0.000491439
40,13,0.000524195,0.000433306,0.000613074
45,13,0.000692734,0.000572586,0.000810269
50,13,0.000963562,0.000796298,0.001127269
55,13,0.001335958,0.001103523,0.001563564
60,13,0.001962231,0.001619814,0.002297726
65,13,0.002785062,0.002297214,0.003263336
70,13,0.003989781,0.003288845,0.004677505
75,13,0.005901604,0.004860984,0.006923538
80,13,0.008501216,0.006993947,0.009983777
85,13,0.021734717,0.017881141,0.02552512
25,13.5,0.000209573,0.000173278,0.000245026
